parcel,label,network,vertices,num_overlap
0,1,0,868,104
1,2,1,259,0
2,3,3,23,10
3,4,1,33,0
4,5,1,195,0
5,6,1,118,0
6,7,1,97,0
7,8,1,19,0
8,9,2,249,0
9,10,2,182,0
10,11,3,54,16
11,12,3,24,4
12,13,2,39,26
13,14,1,38,0
14,15,7,68,36
15,16,6,75,45
16,17,1,18,0
17,18,3,43,15
18,19,1,46,14
19,20,1,23,0
20,21,1,20,0
21,22,1,21,0
22,23,1,18,0
23,24,1,17,2
24,25,2,24,0
25,26,4,53,30
26,27,7,55,5
27,28,7,45,17
28,29,7,43,21
29,30,6,34,11
30,31,7,39,0
31,32,7,67,8
32,33,7,30,2
33,34,7,23,0
34,35,7,30,1
35,36,7,31,0
36,37,2,33,0
37,38,4,61,9
38,39,4,77,13
39,40,2,52,9
40,41,2,70,5
41,42,2,44,14
42,43,3,69,14
43,44,4,72,26
44,45,4,60,25
45,46,3,65,10
46,47,3,34,0
47,48,3,55,11
48,49,3,48,0
49,50,3,39,0
50,51,3,52,0
51,52,2,133,0
52,53,2,160,17
53,54,2,110,0
54,55,2,58,0
55,56,2,89,1
56,57,2,29,10
57,58,4,25,5
58,59,6,22,11
59,60,4,25,2
60,61,4,47,0
61,62,7,32,1
62,63,7,32,0
63,64,6,50,22
64,65,7,26,0
65,66,7,28,1
66,67,7,14,2
67,68,7,61,1
68,69,7,74,0
69,70,7,69,0
70,71,7,38,0
71,72,7,46,0
72,73,7,55,2
73,74,6,63,14
74,75,7,44,25
75,76,7,58,7
76,77,7,39,0
77,78,7,58,15
78,79,4,72,23
79,80,6,36,1
80,81,3,33,14
81,82,6,32,5
82,83,6,41,5
83,84,6,51,0
84,85,6,68,31
85,86,6,46,0
86,87,6,83,42
87,88,7,54,0
88,89,5,44,11
89,90,7,30,8
90,91,5,24,0
91,92,6,43,19
92,93,5,50,3
93,94,5,73,0
94,95,7,40,7
95,96,3,39,13
96,97,3,109,17
97,98,6,35,11
98,99,7,19,4
99,100,4,37,11
100,101,2,54,0
101,102,2,48,0
102,103,2,43,0
103,104,2,28,13
104,105,2,56,0
105,106,4,43,18
106,107,4,49,8
107,108,2,23,9
108,109,4,66,0
109,110,4,44,1
110,111,0,37,21
111,112,6,44,17
112,113,4,36,26
113,114,4,16,0
114,115,4,31,0
115,116,2,23,11
116,117,3,80,7
117,118,3,103,3
118,119,5,35,3
119,120,7,53,31
120,121,0,81,0
121,122,1,45,0
122,123,5,77,0
123,124,7,21,10
124,125,2,47,0
125,126,2,48,22
126,127,1,37,19
127,128,1,46,18
128,129,7,36,0
129,130,7,62,0
130,131,7,63,0
131,132,5,111,21
132,133,7,45,0
133,134,7,75,31
134,135,5,74,40
135,136,5,83,9
136,137,3,55,16
137,138,3,55,32
138,139,3,62,14
139,140,7,51,31
140,141,3,36,22
141,142,3,23,7
142,143,1,41,3
143,144,3,45,19
144,145,6,58,1
145,146,6,51,10
146,147,1,33,16
147,148,4,53,10
148,149,4,138,51
149,150,7,155,75
150,151,7,110,0
151,152,7,81,1
152,153,1,16,0
153,154,1,28,0
154,155,1,19,0
155,156,7,24,11
156,157,1,16,0
157,158,3,34,3
158,159,1,22,0
159,160,1,22,0
160,161,1,21,0
161,162,7,35,0
162,163,7,22,5
163,164,1,42,0
164,165,5,22,1
165,166,5,17,8
166,167,5,35,0
167,168,4,52,9
168,169,2,36,0
169,170,4,47,4
170,171,7,36,8
171,172,6,38,8
172,173,5,42,0
173,174,2,36,1
174,175,2,39,0
175,176,2,60,0
176,177,7,45,0
177,178,7,41,1
178,179,4,35,14
179,180,6,34,16
180,181,7,20,1